FileName Sample
AMA1_N2_Emb https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FAMA1%5FN2%5Fembryo%5Faverage%5Fvar%2Ewig%2Egz
CAPG1_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FCAPG1%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
CAPG2_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FCAPG2%5FN2%5FMxEmb%5Faverage%5Fvar%2Ewig%2Egz
DPY26_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FDPY26%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
DPY26_TY1072_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FDPY26%5FTY1072%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
DPY27_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FDPY27%5FN2%5FMxEmb%5Faverage%5Fvar%2Ewig%2Egz
DPY28_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FDPY28%5FN2%5FMxEmb%5Faverage%5Fvar%2Ewig%2Egz
HCP6_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FHCP6%5FN2%5FMxEmb%5Faverage%5Fvar%2Ewig%2Egz
HCP6_TY1072_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FHCP6%5FTY1072%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
HTZ_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FHTZ%5FMxEmb%5FN2%5Faverage%5Fvar%2Ewig%2Egz
IgG_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FIgG%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
KLE2_N2_L3 https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FKLE2%5FN2%5FL3%5Faverage%5Fvar%2Ewig%2Egz
KLE2_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FKLE2%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
KLE2_TY1072_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FKLE2%5FTY1072%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
MIX1_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FMIX1%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
PQN85_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FPQN85%5FN2%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
PQN85_TY1072_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FPQN85%5FTY1072%5FMxemb%5Faverage%5Fvar%2Ewig%2Egz
SMC4_N2_MxE https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE45678&format=file&file=GSE45678%5FSMC4%5FN2%5FMxEmb%5Faverage%5Fvar%2Ewig%2Egz
